DATE,HPI,HPA_PC,TENYRT,TENYRT_PC,MORTGAGE,MORTGAGE_PC,UNEMPLOYMENT,UNEMPLOYMENT_PC,WAGES,WAGES_PC,SUPPLY,SUPPLY_PC
2015-12-29,176.54,5.052692964551997,2.32,6.91244239631336,3.96,3.394255874673626,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-30,176.54,5.052692964551997,2.31,8.962264150943392,3.96,3.394255874673626,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-31,176.54,5.052692964551997,2.27,11.274509803921568,4.01,3.617571059431516,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2016-01-01,177.27,5.121773318389657,2.27,11.274509803921568,4.01,3.617571059431516,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-04,177.27,5.121773318389657,2.24,13.705583756345192,4.01,3.617571059431516,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-05,177.27,5.121773318389657,2.25,14.79591836734694,4.01,3.617571059431516,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-06,177.27,5.121773318389657,2.18,7.389162561576374,4.01,3.617571059431516,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-07,177.27,5.121773318389657,2.16,9.090909090909099,3.97,6.4343163538874055,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-08,177.27,5.121773318389657,2.13,10.937499999999998,3.97,6.4343163538874055,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-11,177.27,5.121773318389657,2.17,13.612565445026178,3.97,6.4343163538874055,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-12,177.27,5.121773318389657,2.12,13.978494623655912,3.97,6.4343163538874055,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-13,177.27,5.121773318389657,2.08,17.51412429378531,3.97,6.4343163538874055,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-14,177.27,5.121773318389657,2.1,14.754098360655737,3.92,7.1038251366120155,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-15,177.27,5.121773318389657,2.03,11.538461538461524,3.92,7.1038251366120155,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-19,177.27,5.121773318389657,2.06,10.160427807486627,3.92,7.1038251366120155,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-20,177.27,5.121773318389657,2.01,5.78947368421052,3.92,7.1038251366120155,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-21,177.27,5.121773318389657,2.02,11.60220994475138,3.81,4.958677685950417,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-22,177.27,5.121773318389657,2.07,13.114754098360642,3.81,4.958677685950417,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-25,177.27,5.121773318389657,2.03,10.928961748633863,3.81,4.958677685950417,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-26,177.27,5.121773318389657,2.01,16.184971098265883,3.81,4.958677685950417,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-27,177.27,5.121773318389657,2.02,14.124293785310735,3.81,4.958677685950417,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-28,177.27,5.121773318389657,2.0,19.04761904761905,3.79,3.5519125683060078,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-01-29,177.27,5.121773318389657,1.94,15.476190476190476,3.79,3.5519125683060078,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-02-01,177.646,5.036422118159028,1.97,10.055865921787706,3.79,3.5519125683060078,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-02,177.646,5.036422118159028,1.87,3.314917127071826,3.79,3.5519125683060078,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-03,177.646,5.036422118159028,1.88,2.73224043715846,3.79,3.5519125683060078,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-04,177.646,5.036422118159028,1.87,-4.102564102564095,3.72,3.62116991643455,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-05,177.646,5.036422118159028,1.86,-5.102040816326523,3.72,3.62116991643455,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-08,177.646,5.036422118159028,1.75,-12.935323383084569,3.72,3.62116991643455,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-09,177.646,5.036422118159028,1.74,-13.0,3.72,3.62116991643455,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-10,177.646,5.036422118159028,1.71,-14.070351758793972,3.72,3.62116991643455,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-02-11,177.646,5.036422118159028,1.63,-19.30693069306931,3.65,-1.084010840108402,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
